SITE CODE= 8A4óOíJí¨êVí¨                ,38.1033,142.8600, 24,9.0,40613.6154873, 24.87, 42.94
 LAT.=   38.5401
 LON.=  141.1272
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
0.018,-0.009,0.009
0.000,0.005,0.013
-0.010,-0.009,0.003
-0.005,-0.010,-0.005
-0.011,-0.002,-0.004
-0.004,0.001,-0.007
0.018,0.005,-0.007
0.027,0.011,-0.009
0.035,0.009,-0.015
0.021,-0.003,-0.019
0.015,0.006,-0.014
-0.002,0.000,-0.005
-0.041,-0.011,-0.002
-0.026,-0.015,0.005
-0.015,-0.019,0.008
-0.008,-0.002,0.004
0.011,0.008,-0.006
0.014,0.008,-0.016
0.028,0.011,-0.013
0.013,0.012,-0.013
-0.011,0.008,-0.013
-0.015,-0.009,-0.007
-0.018,-0.013,-0.007
-0.015,-0.011,-0.006
-0.022,-0.009,-0.012
-0.005,0.014,-0.011
0.018,0.013,0.000
0.008,0.007,-0.004
0.009,0.017,-0.005
0.007,0.009,0.007
-0.002,-0.001,0.006
-0.001,-0.010,0.002
-0.006,-0.020,-0.002
-0.007,-0.013,-0.006
0.009,-0.004,0.008
0.014,0.007,0.011
0.014,0.014,0.005
0.026,0.013,0.013
0.016,0.018,0.002
0.014,-0.007,-0.004
0.025,-0.024,0.000
0.016,-0.021,-0.002
0.000,-0.036,-0.004
-0.015,-0.032,-0.009
-0.009,-0.023,-0.003
-0.019,-0.014,0.000
-0.029,0.000,-0.003
-0.022,0.019,-0.011
-0.024,0.025,-0.019
0.000,0.016,-0.014
0.002,0.019,-0.013
-0.002,0.011,-0.006
0.013,0.003,0.000
0.001,-0.003,0.003
-0.005,-0.018,0.009
0.009,-0.006,0.006
0.003,0.012,0.002
-0.024,0.000,-0.003
-0.016,0.007,-0.007
-0.006,0.009,-0.003
-0.029,-0.005,0.000
-0.011,0.013,-0.001
0.016,0.016,0.002
0.014,0.003,0.001
0.038,0.007,-0.002
0.046,0.001,0.002
0.009,-0.001,0.000
-0.004,-0.015,-0.002
-0.013,-0.030,-0.007
-0.025,-0.015,-0.015
0.002,-0.014,-0.013
0.006,-0.013,-0.019
-0.004,-0.003,-0.022
0.013,-0.006,-0.010
0.010,0.002,-0.004
0.007,0.001,0.009
0.007,0.002,0.014
0.003,0.013,0.005
0.003,0.013,-0.004
0.005,0.013,-0.013
0.011,-0.002,-0.011
-0.011,-0.009,-0.008
-0.020,-0.012,-0.016
-0.009,-0.021,-0.014
-0.002,-0.018,0.000
0.005,-0.015,0.005
-0.004,-0.011,0.004
-0.002,0.001,0.005
0.000,0.019,0.005
-0.004,0.010,0.009
0.013,0.012,0.013
0.005,0.023,0.008
0.001,-0.007,0.005
0.005,-0.006,0.005
-0.006,-0.008,0.001
0.016,-0.032,0.001
0.015,-0.012,-0.004
-0.017,0.005,-0.010
-0.009,0.000,-0.007
-0.006,0.013,-0.005
-0.019,0.014,-0.006
-0.027,0.008,-0.010
-0.026,0.016,-0.017
-0.008,-0.011,-0.018
0.010,-0.026,-0.005
0.012,-0.011,0.003
0.014,-0.008,-0.001
0.013,-0.003,-0.006
0.017,0.002,-0.001
0.024,0.006,0.006
0.004,0.018,-0.002
-0.016,0.028,-0.005
-0.017,0.014,0.002
0.000,0.007,0.005
0.007,-0.006,0.007
-0.002,-0.022,0.002
0.007,-0.005,-0.002
0.016,-0.018,-0.006
0.009,-0.024,-0.006
-0.003,-0.004,-0.002
0.000,0.002,-0.004
0.000,0.012,-0.005
-0.004,0.000,0.000
-0.002,0.009,-0.004
0.000,0.016,-0.014
0.002,-0.008,-0.019
0.000,-0.006,-0.023
0.013,-0.013,-0.019
0.007,-0.008,-0.011
-0.014,0.005,0.003
-0.014,0.004,0.008
0.002,0.011,0.005
0.002,-0.001,0.005
-0.009,0.005,0.009
0.004,0.015,0.009
0.012,-0.020,0.009
0.005,-0.022,0.008
0.004,-0.007,-0.002
-0.001,-0.014,-0.005
-0.006,-0.003,-0.008
0.001,0.016,-0.009
0.002,0.012,-0.001
0.002,0.012,0.002
0.009,0.015,0.002
0.012,0.000,0.005
0.009,-0.002,0.007
-0.005,0.001,0.000
-0.011,-0.011,0.002
-0.014,-0.024,0.006
-0.018,-0.027,0.001
-0.007,-0.020,-0.007
0.007,-0.008,-0.014
0.016,0.012,-0.021
0.018,0.020,-0.030
0.030,0.020,-0.028
0.028,0.029,-0.020
0.000,0.020,-0.013
-0.009,0.007,-0.003
0.002,-0.011,0.015
-0.011,-0.022,0.022
-0.022,-0.009,0.013
0.000,-0.019,0.016
-0.001,-0.017,0.014
-0.011,-0.007,0.009
0.000,-0.002,0.010
-0.002,0.021,0.005
-0.007,0.002,0.005
-0.001,-0.003,-0.005
0.009,0.007,-0.014
0.008,-0.005,-0.010
0.011,-0.004,-0.019
0.009,-0.014,-0.020
0.003,-0.018,-0.014
0.004,-0.007,-0.009
-0.020,-0.008,-0.007
-0.018,-0.006,-0.009
-0.013,0.013,-0.008
-0.022,0.014,-0.009
-0.015,0.018,-0.012
-0.017,0.020,-0.014
0.010,-0.005,-0.012
0.008,-0.011,-0.016
-0.009,-0.018,-0.019
0.013,-0.018,-0.018
0.010,-0.007,-0.016
0.009,-0.013,-0.004
0.009,-0.008,0.009
0.005,0.014,0.016
0.000,0.014,0.010
-0.019,0.003,0.004
-0.014,0.005,0.005
-0.010,-0.006,0.007
-0.019,-0.009,0.009
-0.023,-0.007,0.011
-0.006,-0.009,0.014
0.014,-0.007,0.014
0.027,-0.002,0.013
0.022,0.012,-0.001
0.013,0.013,-0.018
0.027,0.006,-0.015
0.011,0.002,-0.010
0.004,0.004,-0.009
0.009,0.005,-0.010
-0.004,0.000,-0.009
0.018,-0.004,0.002
0.009,-0.005,0.010
-0.010,-0.004,0.011
-0.001,-0.008,0.014
-0.008,-0.007,0.011
-0.004,0.013,-0.001
-0.002,0.020,-0.008
0.001,0.014,-0.010
0.011,0.003,-0.018
0.009,-0.016,-0.027
0.017,-0.004,-0.016
0.004,-0.002,-0.008
-0.001,-0.015,-0.007
0.002,-0.006,0.004
-0.019,-0.004,0.002
-0.011,0.008,0.002
-0.009,0.005,-0.003
-0.020,0.001,-0.005
-0.006,0.001,0.001
-0.004,-0.014,-0.005
-0.004,-0.005,-0.003
0.007,-0.015,0.001
0.013,-0.029,0.003
0.020,-0.009,0.002
0.016,0.000,-0.008
0.012,-0.005,-0.008
0.019,-0.002,-0.005
0.007,-0.007,-0.004
-0.014,0.002,-0.011
-0.023,0.013,-0.023
-0.019,-0.002,-0.028
-0.009,-0.013,-0.023
-0.013,-0.011,-0.008
-0.008,0.010,0.000
0.009,0.000,-0.002
0.012,-0.013,-0.002
0.030,0.002,-0.005
0.030,0.002,-0.012
0.013,0.030,-0.017
0.012,0.023,-0.014
0.003,-0.005,-0.005
0.007,0.009,-0.006
0.001,0.000,-0.001
-0.010,-0.004,0.009
0.002,-0.023,0.012
-0.001,-0.026,0.020
-0.008,-0.009,0.022
-0.004,-0.014,0.017
-0.004,-0.005,0.008
0.004,-0.009,-0.001
0.007,-0.007,0.005
0.007,0.002,0.009
0.000,-0.010,0.004
-0.012,-0.007,-0.007
0.005,-0.002,-0.013
-0.002,-0.006,-0.005
-0.014,0.009,0.002
-0.007,0.013,0.001
-0.019,0.001,-0.004
-0.010,0.013,-0.011
0.007,0.019,-0.013
0.007,0.013,-0.012
0.009,0.010,-0.016
0.000,-0.006,-0.013
0.006,-0.011,-0.007
0.003,-0.005,-0.013
-0.013,-0.016,-0.015
0.006,-0.011,-0.016
0.013,0.005,-0.017
0.014,0.010,-0.011
0.007,0.014,-0.016
-0.008,0.002,-0.020
0.005,-0.009,-0.020
-0.015,-0.004,-0.016
-0.029,0.000,0.000
-0.023,-0.004,0.018
-0.039,-0.023,0.032
-0.011,-0.011,0.035
0.009,0.013,0.023
0.005,0.005,0.007
0.028,0.011,-0.013
0.026,0.005,-0.022
0.021,0.001,-0.014
0.020,0.000,-0.013
0.001,-0.015,-0.018
-0.014,-0.007,-0.017
-0.021,-0.010,-0.010
-0.018,0.004,-0.005
-0.021,-0.004,0.007
-0.008,-0.024,0.015
0.020,0.002,0.011
0.016,-0.005,0.007
0.024,0.012,0.005
0.035,0.025,-0.005
0.023,-0.005,-0.014
0.027,-0.003,-0.016
0.000,-0.009,-0.019
-0.022,-0.010,-0.018
-0.002,-0.003,-0.015
-0.013,-0.013,-0.005
-0.010,-0.007,0.009
0.008,0.005,0.010
0.001,0.008,0.007
-0.004,0.010,0.002
0.002,-0.002,-0.002
0.006,0.002,0.005
-0.005,0.020,0.003
-0.009,0.000,-0.011
0.005,-0.016,-0.013
0.004,-0.016,-0.008
-0.010,-0.013,-0.009
0.000,-0.002,-0.013
0.016,-0.014,-0.010
0.013,-0.015,0.002
0.009,0.012,0.000
-0.002,0.015,-0.006
-0.002,-0.006,0.000
0.002,-0.015,0.005
0.002,-0.013,0.013
0.016,-0.007,0.009
-0.002,0.004,0.002
-0.014,-0.011,0.009
-0.006,-0.026,0.019
-0.009,-0.006,0.021
0.001,0.002,0.020
-0.002,0.007,0.011
0.007,0.016,-0.007
0.030,0.018,-0.018
0.009,0.018,-0.029
0.003,0.011,-0.026
0.003,-0.006,-0.023
-0.004,-0.027,-0.021
0.004,-0.009,-0.007
-0.020,-0.006,-0.007
-0.014,-0.012,-0.003
-0.002,-0.002,-0.001
-0.005,-0.007,0.001
0.013,0.012,0.003
-0.001,0.014,-0.013
0.011,0.016,-0.016
0.018,-0.001,-0.018
0.000,-0.009,-0.017
0.015,0.026,-0.011
-0.002,-0.011,-0.018
0.002,-0.023,-0.012
0.016,-0.011,-0.004
0.005,-0.016,0.007
0.017,0.010,0.009
0.000,-0.011,0.002
-0.004,-0.017,0.011
0.013,0.009,0.012
-0.008,0.000,0.012
-0.013,0.007,0.003
-0.006,-0.003,-0.006
-0.007,-0.021,-0.001
0.001,-0.004,-0.009
-0.006,0.004,-0.016
0.004,-0.009,-0.006
0.027,-0.016,0.006
0.012,0.011,0.007
0.013,0.016,0.007
0.016,0.004,0.002
-0.001,0.014,-0.011
-0.011,-0.019,-0.018
-0.030,-0.013,-0.009
-0.023,0.004,0.011
-0.011,-0.019,0.020
-0.010,-0.009,0.021
0.019,-0.002,0.016
0.016,0.025,-0.002
0.005,0.048,-0.023
0.024,0.028,-0.035
0.013,0.009,-0.034
