単語,意味,発音記号,発音,品詞1,品詞2,補足,例文,英検,カテゴリ
partly,一部分は, pάɚtli,-,形容詞,-,-,-,準2級,-
pay attention to N,Nに注意を払う,-,-,熟語,-,-,-,準2級,-
Please do not V,Vしないで,-,-,熟語,命令,-,-,準2級,-
plenty of,多くの,-,-,熟語,-,-,-,準2級,-
prefer,好む,-,-,動詞,-,-,-,準2級,-
put off A until B,AをBまで延期する,-,-,熟語,-,-,-,準2級,-
put on N,Nを着る,-,-,熟語,-,-,-,準2級,-
put up with N,Nに耐える,-,-,熟語,-,standと同じ意味,-,準2級,-
quit Ving,Vするのをやめる（継続的）,-,-,熟語,-,習慣的にやめる（例：タバコをやめる）,-,準2級,-
recover from an illness,病気が回復する,-,-,熟語,-,-,-,準2級,-
refuse N,Nを断る,-,-,動詞,-,強く断るような意味,-,準2級,-
reject N,Nを断る,-,-,動詞,-,強く断るような意味,-,準2級,-
relief,安心,-,-,名詞,-,-,-,準2級,-
rely on N,Nに依存する,-,-,熟語,動詞,-,-,準2級,-
remind A of B,A（人）に B（物）を思い出させる,-,-,熟語,動詞,-,-,準2級,-
right away,早速,-,-,熟語,-,-,-,準2級,-
S 1 V 1 so that S 2 can V 2,S2がV2できるようにS1がV1する,-,-,熟語,動詞,-,-,準2級,-
S be delayed,Sが遅延する,-,-,熟語,動詞,-,-,準2級,-
S be/have sold out,Sが売り切れた,-,-,熟語,動詞,-,-,準2級,-
same as N,Nと同じ,-,-,熟語,-,-,-,準2級,-
see,みえる,-,-,動詞,-,-,-,準2級,-
see A off,Aを見送る,-,-,熟語,動詞,see off Aも同じ,-,準2級,-
see good,良いと思う,-,-,熟語,動詞,-,-,準2級,-
seldom,めったに～しない,-,-,副詞,-,-,-,準2級,-
sill,つまらない,-,-,形容詞,-,-,-,準2級,-
sit up all night to V,徹夜でVする,-,-,熟語,動詞,-,-,準2級,-
slight,少しの、わずかな,-,-,熟語,形容詞,-,-,準2級,-
sluggish,不振な、不景気の,-,-,形容詞,-,-,-,準2級,-
so 形容詞／副詞 that S V,余りにも～なのでSVする,-,-,熟語,動詞,-,-,準2級,-
spend O Ving,VするのにO(お金など)を費やす,-,-,熟語,動詞,-,-,準2級,-
stay up all night to V,徹夜でVする,-,-,熟語,動詞,-,-,準2級,-
stand for,Aを表す,-,-,熟語,動詞,-,-,準2級,-
stand by,Aを支援する,-,-,熟語,動詞,-,-,準2級,-
stand off,Aを撃退する,-,-,熟語,動詞,-,-,準2級,-
stand in,Aの代役を務める,-,-,熟語,動詞,-,-,準2級,-
stop Ving,Vするのをやめる（一時的）,-,-,熟語,動詞,一時的にやめる（例：ゲームを中断する）,-,準2級,-
study abroad,留学する,-,-,熟語,動詞,-,-,準2級,-
study abroad,留学する,-,-,熟語,動詞,-,-,準2級,-
such (a) 形容詞 ＋ 名詞 that S V,余りに（形）な（名）なのでSがVする,-,-,熟語,動詞,-,-,準2級,-
suffer in A,Aで苦しんでいる,-,-,熟語,動詞,-,-,準2級,-
take a course,受講する,-,-,熟語,動詞,-,-,準2級,-
take a nap,昼寝をする,-,-,熟語,動詞,-,-,準2級,-
take a walk,散歩する,-,-,熟語,動詞,-,-,準2級,-
take care of N,Nを処理する/世話する,-,-,熟語,-,-,-,準2級,-
take off N,Nを脱ぐ,-,-,熟語,-,-,-,準2級,-
That’s why S V.,だから、SがVする,-,-,熟語,-,-,-,準2級,-
there is something wrong with A,Aの調子が悪い,-,-,熟語,-,There is something+形容詞＋about＋名詞「（名詞）には（形容詞）なところがある」,-,準2級,-
through[throughout] the year,年中,-,-,熟語,名詞,-,-,準2級,-
"To begin with, S V",初めにSはVする,-,-,熟語,-,-,-,準2級,-
"To start with, S V",初めにSはVする,-,-,熟語,-,-,-,準2級,-
tough,厳しい、頑固な,-,-,熟語,-,-,-,準2級,-
trade with N,Nと取引する,-,-,熟語,-,-,-,準2級,-
try my best,"努力する, ベストを 尽くす",-,-,熟語,動詞,-,-,準2級,-
try on N（衣類）,（衣類）を試着する,-,-,熟語,動詞,-,-,準2級,-
turn,回転する、回転させる、回転, tˈɚːn,-,動詞,-,-,-,準2級,-
turn A into B,AをBに変える,-,-,熟語,-,-,-,準2級,-
turn down N,Nを断る,-,-,熟語,動詞,丁重に断るような意味,-,準2級,-
turn O on,Oを興奮させる,-,-,熟語,-,-,-,準2級,-
turn on A,Aをひねって開ける/つける,-,-,熟語,-,-,-,準2級,-
under repair,修理中,-,-,熟語,-,-,-,準2級,-
unlike,～とちがって,-,-,前置詞,-,-,-,準2級,-
up to you,あなた次第,-,-,熟語,-,-,-,準2級,-
usage,[装置などの]使用法,-,-,名詞,-,-,-,準2級,-
use,利用する、[能力などの]利用法, júːz,-,動詞,-,-,-,準2級,-
used to V（原形）,かつてはVしたものだ,-,-,熟語,動詞,be used to Vimg（かつてはVしたものだ）と間違えないように注意,-,準2級,-
utilize,利用する、利用、, júːtəlàiz,-,動詞,-, useをカッコつけて話す,-,準2級,-
void,空(から)の、無効の, vˈɔɪd,-,形容詞,-,-,-,準2級,-
wantad,求人広告,-,-,熟語,-,-,-,準2級,-
watch,[注意して]見る,-,-,動詞,-,-,-,準2級,-
What do you say to Ving?,Vするのはどう？,-,-,熟語,-,toは前置詞 なので動名詞になる,-,準2級,-
What is A like?,Aはどんな感じですか？,-,-,熟語,動詞,like（前置詞：～のような）,-,準2級,-
What is A like?,Aはどんな感じ？,-,-,熟語,-,-,-,準2級,-
When it comes to Ving,Vするとなると,-,-,熟語,-,toは前置詞なので、直後に置く動詞は動名詞,-,準2級,-
whenever,～する時はいつでも,-,-,接続詞,-,-,-,準2級,-
whether A or not,Aかどうか,-,-,熟語,接続詞,-,-,準2級,-
Why don’t we V?,Vしませんか？,-,-,熟語,動詞,-,-,準2級,-
Why don’t we V?,Vするのはどう？,-,-,熟語,動詞,-,-,準2級,-
Why don’t we V?,Vしませんか？,-,-,熟語,動詞,-,-,準2級,-
Why don’t you V?,Vしませんか？,-,-,熟語,動詞,-,-,準2級,-
will be held,開催される予定だ,-,-,熟語,動詞,-,-,準2級,-
with one’ s arms folded,腕組みしながら,-,-,熟語,-,前置詞withは「～しながら」の意味,-,準2級,-
Would you like to V?,Vするのはどう？,-,-,熟語,動詞,-,-,準2級,-
Would you like to V？,Vしませんか？,-,-,熟語,動詞,-,-,準2級,-
Would you mind my( me) Ving?,Vしても良いですか？,-,-,熟語,動詞,「良いよ」と答えるときは「No」。my( me) は省略可。,-,準2級,-
Would you V?,Vしてくれますか？,-,-,熟語,動詞,-,-,準2級,-
You are welcome,どういたしまして,-,-,熟語,-,-,-,準2級,-
You can say that again.,その通りです。,-,-,熟語,動詞,-,-,準2級,-
You can’t miss it.,すぐに見つかりますよ,-,-,熟語,動詞,-,-,準2級,-
You have the wrong number.,間違い電話,-,-,熟語,-,-,-,準2級,-
get under,～の下に入る,-,-,熟語,動詞,-,-,準2級,-
get out,外へ出る,-,-,熟語,動詞,-,-,準2級,-
get off,(乗り物から）降りる,-,-,熟語,動詞,-,-,準2級,-
get down,（馬などから）降りる,-,-,熟語,動詞,-,-,準2級,-
all the same,それでも,-,-,熟語,副詞,-,-,準2級,-
back and forth,前後に、あちこちに,-,-,熟語,副詞,-,-,準2級,-
upset,同様している,-,-,形容詞,-,-,-,準2級,-
may have seen,見たかもしれない,-,-,熟語,動詞,-,-,準2級,-
wheat,小麦,-,フヮィートゥ,名詞,-,-,-,準2級,-
be made of A,Aから作られる,-,-,熟語,動詞,原材料が原型を留めている場合はof,-,準2級,-
be made from A,Aから作られる,-,-,熟語,動詞,パンと小麦など原材料が原型を留めていない場合はfrom,-,準2級,-
day after tomorrow,明後日,-,-,熟語,名詞,-,-,準2級,-
day before yesterday,一昨日,-,-,熟語,名詞,-,-,準2級,-
calm down,落ち着く,-,-,熟語,-,-,-,準2級,-
even though A,たとえAでも,-,-,熟語,-,-,-,準2級,-
break down,～を壊す、つぶす、故障する、壊れる,-,-,熟語,-,-,-,準2級,-
break up,（物や群衆が）ばらばらになる、(関係・友情などが)終わる,-,-,熟語,-,-,-,準2級,-
break into,～に侵入する,-,-,熟語,-,-,-,準2級,-
If it had not been for A,Aがなければ,-,-,熟語,-,without Aと同じ,-,準2級,-
late,遅れる,-,-,形容詞,-,-,-,準2級,-
later,より遅い,-,-,形容詞,-,-,-,準2級,-
latest,一番遅い,-,-,形容詞,-,-,-,準2級,-
latter,後の方の/後半の,-,-,形容詞,-,-,-,準2級,-
cannot have Vpp,Vしたはずがない,-,-,熟語,-,-,-,準2級,-
may not V,Vするかもしれない,-,-,熟語,-,-,-,準2級,-
must have Vpp,Vしたにちがいない,-,-,熟語,-,-,-,準2級,-
should V,Vすべきだ,-,-,熟語,-,-,-,準2級,-
talk over a cup of tea,お茶を飲みながら話す,-,-,熟語,-,-,-,準2級,-
was surprised at A,Aに驚いた,-,-,熟語,-,astonished、amazed、astounded、shocked、startled、stunned、wondered、marveled（左ほど強い驚きを表す）の同意義語も同じくatがつく,-,準2級,at（感情の原因）
be glad at/with A,Aを見て・聞いて・知ってうれしい,-,-,熟語,-,glad以外にも「pleased at/with」「delighted at/with」「satisfied （withのみ）」などの同様の意味をもつ,-,準2級,at（感情の原因）
be rejoiced at/in A,Aのことで怒る・イライラする,-,-,熟語,-,他にも「angry at/about」「was offended at」「was annoyed at」「irritated at」などが使われます。,-,準2級,at（感情の原因）
robbed A of B,A（場所）から B（金・物）を奪う,-,-,熟語,-,-,-,準2級,of（除去・奪取）
deprive A of B,A（人・物）から B（人・物・地位・慰安・能力）などを奪う,-,-,熟語,-,-,-,準2級,of（除去・奪取）
strip A of B,A（場所・人）から B（物・権利など,-,-,熟語,-,-,-,準2級,of（除去・奪取）
rid A of B,A（物）から B（有害・無用なもの）を取り除く,-,-,熟語,-,-,-,準2級,of（除去・奪取）
cure A of B,A（人）から B（病気・弊害悪癖）を除く,-,-,熟語,-,-,-,準2級,of（除去・奪取）
eased A of B,A（心・体など）から B（苦痛・重荷など）を取り除いて楽にする,-,-,熟語,-,-,-,準2級,of（除去・奪取）
relieve A of/from B,A（人）から B（心配・苦痛・やっかいな物）を取り除いて安心させる,-,-,熟語,-,-,-,準2級,of（除去・奪取）
cleared A of B,A（場所）から B（邪魔なもの）を取り除く,-,-,熟語,-,-,-,準2級,of（除去・奪取）
empty A of B,A（容器）から B（中身）を取り出す,-,-,熟語,-,-,-,準2級,of（除去・奪取）
be bare of A,A（場所）に～がない,-,-,熟語,-,-,-,準2級,of（除去・奪取）
be clear of A,A（都合の悪いもの）がない,-,-,熟語,-,-,-,準2級,of（除去・奪取）
