sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 09:56:27s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:28s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:29s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:30s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:31s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:32s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.07E+01
'18-09-24 09:56:33s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:34s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.07E+01
'18-09-24 09:56:35s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:36s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.07E+01
'18-09-24 09:56:37s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.07E+01
'18-09-24 09:56:38s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:39s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:40s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:41s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:42s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:43s,2.62E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:44s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:45s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:46s,2.62E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:47s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:48s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:49s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:50s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:51s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:52s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:53s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:54s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:55s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:56s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
