sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 12:33:47s,2.63E+01,2.45E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:48s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:49s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:50s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:51s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:52s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:53s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:54s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:55s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:56s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:57s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:58s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:33:59s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:00s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:01s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:02s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:03s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:04s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:05s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:06s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:07s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:08s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:09s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:10s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:11s,2.63E+01,2.46E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:12s,2.63E+01,2.47E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:13s,2.63E+01,2.47E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:14s,2.63E+01,2.47E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:15s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:16s,2.63E+01,2.47E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:17s,2.63E+01,2.47E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:18s,2.63E+01,2.47E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:19s,2.63E+01,2.47E+01,2.40E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:20s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:21s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:22s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:23s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:24s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:25s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:26s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:27s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:28s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:29s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:30s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:31s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:32s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:33s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:34s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:35s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:36s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:37s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:38s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:39s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:40s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:41s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:42s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:43s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:44s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:45s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:46s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:47s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:48s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:49s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:50s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:51s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:52s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:53s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:54s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:55s,2.63E+01,2.47E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:56s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:57s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:58s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:34:59s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:00s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:01s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:02s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:03s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:04s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:05s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:06s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:07s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:08s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:09s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:10s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:11s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:12s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:13s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:14s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:15s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:16s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:17s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:18s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:19s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:20s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:21s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:22s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:23s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:24s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:25s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:26s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:27s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:28s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:29s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:30s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:31s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:32s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:33s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:34s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:35s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:36s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:37s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:38s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:39s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:40s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:41s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:42s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:43s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:44s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:45s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:46s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:47s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:48s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:49s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:50s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:51s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:52s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:53s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:54s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:55s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:56s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:57s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:58s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:35:59s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:00s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:01s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:02s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:03s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:04s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:05s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:06s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:07s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:08s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:09s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:10s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:11s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:12s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:13s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:14s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:15s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:16s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:17s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:18s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:19s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:20s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:21s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:22s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:23s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:24s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:25s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:26s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:27s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:28s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:29s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:30s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:31s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:32s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:33s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:34s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:35s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:36s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:37s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:38s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:39s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:40s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:41s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:42s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:43s,2.63E+01,2.43E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:44s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:45s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:46s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:47s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:48s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:49s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:50s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:51s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:52s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:53s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:54s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:55s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:56s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:57s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:58s,2.63E+01,2.48E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:36:59s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:00s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:01s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:02s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:03s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:04s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:05s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:06s,2.63E+01,2.45E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:07s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:08s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:09s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:10s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:11s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:12s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:13s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:14s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:15s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:16s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:17s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:18s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:19s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 12:37:20s,2.63E+01,2.46E+01,2.61E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
