更新日時,全体,大阪府,京都府,兵庫県,奈良県,滋賀県,和歌山県,福井県,岐阜県,三重県
2022-02-13 17:36,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:39,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:42,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:45,330,0,0,330,0,0,0,0,0,0
2022-02-13 18:57,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:00,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:03,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:06,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:09,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:12,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:15,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:18,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:21,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:24,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:27,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:30,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:33,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:36,10,0,0,10,0,0,0,0,0,0
2022-02-13 19:39,10,0,0,10,0,0,0,0,0,0
2022-02-13 21:00,280,0,0,0,0,0,280,0,0,0
2022-02-13 21:03,280,0,0,0,0,0,280,0,0,0
2022-02-13 21:06,250,0,0,0,0,0,250,0,0,0
2022-02-13 21:09,250,0,0,0,0,0,250,0,0,0
2022-02-13 21:12,250,0,0,0,0,0,250,0,0,0
2022-02-13 21:15,250,0,0,0,0,0,250,0,0,0
2022-02-13 21:18,250,0,0,0,0,0,250,0,0,0
2022-02-13 21:21,250,0,0,0,0,0,250,0,0,0
2022-02-13 21:24,250,0,0,0,0,0,250,0,0,0
2022-02-13 21:27,250,0,0,0,0,0,250,0,0,0
2022-02-13 21:30,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:33,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:36,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:39,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:42,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:45,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:48,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:51,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:54,210,0,0,0,0,0,210,0,0,0
2022-02-13 21:57,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:00,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:03,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:06,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:09,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:12,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:15,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:18,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:21,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:24,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:27,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:30,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:33,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:36,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:39,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:42,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:45,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:48,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:51,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:54,210,0,0,0,0,0,210,0,0,0
2022-02-13 22:57,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:00,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:03,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:06,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:09,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:12,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:15,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:18,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:21,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:24,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:27,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:30,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:33,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:36,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:39,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:42,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:45,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:48,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:51,210,0,0,0,0,0,210,0,0,0
